BI	TOTAL	ABU	JOC	MON	OUV	PER
  	35474	 506	 31641	 2727	 74	 526
 !	7792	 6772	0	 636	 288	 96
 "	21479	 2986	0	 16079	 356	 2058
 $	7	0	 2	0	0	 5
 %	3103	 1	 1002	 1349	 504	 247
 &	32	0	 21	 1	 7	 3
 '	96	 39	 10	 2	 31	 14
 (	41475	 409	 15392	 10994	 5364	 9316
 )	5162	 8	 5039	 8	 1	 106
 *	74	 1	0	 3	0	 70
 +	245	 25	 27	 26	 102	 65
 ,	1521	 105	 1145	 38	 8	 225
 -	10911	 3100	 1469	 4410	 12	 1920
 .	2311	 38	 1431	 60	 6	 776
 /	57	0	 10	 1	 19	 27
 0	3150	 60	 1018	 1126	 668	 278
 1	49555	 895	 24951	 8727	 9403	 5579
 2	13472	 416	 6392	 3555	 1796	 1313
 3	9366	 151	 4409	 2972	 1089	 745
 4	5755	 102	 2188	 2246	 767	 452
 5	4680	 84	 1643	 1825	 738	 390
 6	3731	 52	 1172	 1534	 644	 329
 7	3853	 48	 1765	 1282	 490	 268
 8	3744	 48	 1817	 1183	 438	 258
 9	3189	 66	 1487	 1038	 358	 240
 :	23120	 6918	 15	 4926	 6447	 4814
 ;	20261	 8606	 41	 7264	 2166	 2184
 <	15	 4	0	0	0	 11
 =	120	 23	 4	 9	 29	 55
 >	30	 10	0	0	0	 20
 ?	8692	 4456	 134	 1760	 1050	 1292
 @	4	 4	0	0	0	0
 A	17292	 3247	 3083	 5513	 2829	 2620
 B	14614	 2671	 2505	 5094	 2560	 1784
 C	62475	 6570	 32023	 8831	 8200	 6851
 D	18511	 3644	 3206	 4276	 4128	 3257
 E	18134	 4509	 2866	 4208	 3352	 3199
 F	12436	 1690	 2117	 5002	 2274	 1353
 G	11055	 1987	 2046	 3305	 2186	 1531
 H	5054	 997	 765	 1555	 935	 802
 I	16406	 4721	 2408	 3332	 3173	 2772
 J	14063	 4209	 2798	 3761	 2198	 1097
 K	3172	 744	 827	 1048	 161	 392
 L	43323	 7211	 7933	 9525	 10078	 8576
 M	32061	 6163	 7868	 10986	 3762	 3282
 N	8719	 2307	 1316	 2607	 1284	 1205
 O	7054	 2322	 642	 1517	 1135	 1438
 P	26865	 4701	 5897	 8347	 3883	 4037
 Q	4220	 1559	 774	 789	 449	 649
 R	12490	 2114	 2318	 4300	 1943	 1815
 S	20352	 4035	 4053	 5248	 4174	 2842
 T	10606	 2742	 2063	 2455	 1530	 1816
 U	6336	 2174	 576	 2000	 607	 979
 V	8180	 2870	 1398	 2228	 940	 744
 W	1934	 397	 245	 580	 278	 434
 X	1143	 302	 116	 132	 152	 441
 Y	771	 30	 158	 317	 103	 163
 Z	658	 116	 116	 198	 115	 113
 [	2173	 59	 66	 73	 1695	 280
 \	29	 27	0	0	0	 2
 ]	58	 3	 49	0	 2	 4
 _	8	0	0	0	0	 8
 `	195	0	0	0	0	 195
 a	238981	 39939	 61107	 47272	 46811	 43852
 b	48878	 18291	 7642	 9471	 6766	 6708
 c	315071	 57420	 68568	 52661	 68750	 67672
 d	740897	 107707	 196579	 129303	 161496	 145812
 e	284808	 49026	 69590	 46976	 59963	 59253
 f	108979	 27446	 19088	 19968	 22501	 19976
 g	42016	 10341	 7666	 8863	 7483	 7663
 h	20844	 6880	 2621	 3787	 3673	 3883
 i	84463	 16345	 17381	 13605	 18436	 18696
 j	36835	 11859	 5370	 7509	 6947	 5150
 k	1356	 97	 172	 277	 604	 206
 l	538445	 90963	 133456	 92147	 117151	 104728
 m	158943	 36302	 30641	 29954	 31093	 30953
 n	114271	 23249	 27058	 19839	 23944	 20181
 o	68067	 9826	 14990	 11805	 14702	 16744
 p	396628	 65448	 92412	 70697	 86666	 81405
 q	134212	 28227	 26607	 24426	 27309	 27643
 r	138575	 23521	 31667	 24596	 30885	 27906
 s	296180	 60329	 54516	 54650	 64960	 61725
 t	125286	 30031	 22833	 21032	 26123	 25267
 u	84751	 18307	 13370	 15375	 18462	 19237
 v	70925	 23412	 10005	 12898	 12619	 11991
 w	701	 40	 65	 68	 57	 471
 x	660	 3	 48	 12	 537	 60
 y	7055	 2461	 794	 1565	 1034	 1201
 z	1492	 75	 857	 173	 171	 216
 {	6	0	0	0	0	 6
 |	1	0	0	0	0	 1
 }	6	0	0	0	0	 6
 ~	8	0	0	0	0	 8
 Œ	12	 1	0	0	 6	 5
 œ	1235	 2	0	0	 1174	 59
 £	2	0	 1	0	0	 1
 ¥	5	0	0	0	0	 5
 ¦	1	0	0	0	0	 1
 §	96	 7	 1	0	 88	0
 «	17180	 2636	 2428	 254	 6450	 5412
 ­	2321	0	0	0	 2321	0
 °	12	0	 2	0	 4	 6
 ±	17	0	0	0	0	 17
 ²	1	0	0	0	0	 1
 µ	6	0	0	0	0	 6
 »	12931	 2779	 5	 281	 7886	 1980
 À	939	 33	 295	 1	 439	 171
 Á	9	0	 6	0	0	 3
 Â	47	 5	 1	0	 37	 4
 Ä	1	0	0	 1	0	0
 Å	5	0	 1	0	0	 4
 Æ	1	 1	0	0	0	0
 Ç	277	 217	0	 43	 3	 14
 È	1	 1	0	0	0	0
 É	6160	 128	 5276	 30	 483	 243
 Ê	18	 6	 1	 3	 4	 4
 Î	9	0	 9	0	0	0
 Ï	19	0	0	0	0	 19
 Ñ	1	0	0	0	0	 1
 Ö	3	0	 3	0	0	0
 ×	4	0	 4	0	0	0
 ß	4	0	0	0	0	 4
 à	96294	 15160	 24344	 17726	 20587	 18477
 á	3	0	 3	0	0	0
 â	1067	 369	 165	 148	 308	 77
 æ	3	 3	0	0	0	0
 ç	1055	 826	0	 133	 32	 64
 è	115	 11	 8	 9	 46	 41
 é	58880	 10148	 14632	 10414	 11859	 11827
 ê	7557	 1176	 1729	 1164	 1624	 1864
 ì	2	0	 1	0	0	 1
 î	228	 60	 118	 7	 8	 35
 ò	1	0	 1	0	0	0
 ô	150	 116	 1	 11	 14	 8
 ÷	1	0	0	0	0	 1
 ù	1	0	0	0	 1	0
 ü	7	 5	 1	0	0	 1
! 	6294	 5366	 8	 545	 256	 119
!!	7	 1	0	0	 2	 4
!"	47	0	0	 35	 9	 3
!)	43	 4	 5	 11	 9	 14
!*	1	 1	0	0	0	0
!,	10	 2	0	 3	 1	 4
!.	165	 155	0	 8	0	 2
!?	1	0	 1	0	0	0
!]	2	0	0	0	0	 2
!e	1	 1	0	0	0	0
!»	86	 66	 2	0	0	 18
" 	16213	 2578	0	 12037	 256	 1342
"!	1	0	0	 1	0	0
""	1	0	0	 1	0	0
"(	7	0	0	0	0	 7
")	94	0	0	 44	 5	 45
",	2792	 137	0	 2257	 63	 335
"-	8	 1	0	 1	0	 6
".	2138	 96	0	 1790	 35	 217
"1	4	0	0	 3	0	 1
"2	1	0	0	0	0	 1
"5	2	0	0	 2	0	0
"6	2	0	0	0	0	 2
":	1	0	0	 1	0	0
";	180	0	0	 10	0	 170
">	1	0	0	0	0	 1
"?	5	0	0	 5	0	0
"A	43	0	0	 28	 1	 14
"B	17	0	0	 14	0	 3
"C	86	0	0	 60	 5	 21
"D	40	 2	0	 22	 3	 13
"E	34	0	0	 19	 1	 14
"F	11	0	0	 7	 2	 2
"G	8	0	0	 4	 3	 1
"H	6	0	0	 4	 1	 1
"I	54	0	0	 35	 4	 15
"J	74	0	0	 52	 14	 8
"K	5	0	0	 1	0	 4
"L	190	 1	0	 100	 14	 75
"M	39	0	0	 26	 5	 8
"N	54	0	0	 36	 2	 16
"O	27	0	0	 18	 1	 8
"P	46	0	0	 31	 3	 12
"Q	21	0	0	 13	 6	 2
"R	17	0	0	 5	 1	 11
"S	34	0	0	 20	 2	 12
"T	46	0	0	 13	 6	 27
"U	15	0	0	 14	0	 1
"V	25	0	0	 17	 5	 3
"W	4	0	0	0	0	 4
"Y	1	0	0	 1	0	0
"Z	1	0	0	 1	0	0
"[	4	0	0	0	 1	 3
"]	2	0	0	 1	0	 1
"a	108	0	0	 67	 21	 20
"b	63	0	0	 38	 8	 17
"c	197	0	0	 101	 24	 72
"d	169	0	0	 85	 24	 60
"e	49	0	0	 19	 9	 21
"f	62	0	0	 26	 11	 25
"g	59	0	0	 36	 8	 15
"h	30	0	0	 16	 5	 9
"i	77	0	0	 31	 11	 35
"j	21	0	0	 11	 5	 5
"k	4	0	0	 3	0	 1
"l	211	0	0	 112	 26	 73
"m	102	0	0	 57	 15	 30
"n	88	0	0	 30	 11	 47
"o	45	0	0	 24	 4	 17
"p	208	0	0	 108	 23	 77
"q	20	0	0	 10	 3	 7
"r	96	0	0	 58	 12	 26
"s	145	 1	0	 81	 21	 42
"t	106	0	0	 44	 16	 46
"u	64	0	0	 47	 4	 13
"v	52	0	0	 30	 9	 13
"w	1	0	0	0	0	 1
"y	2	0	0	 1	 1	0
"z	3	0	0	 2	0	 1
"œ	3	0	0	0	 3	0
"»	20	0	0	0	0	 20
"Ç	3	0	0	 3	0	0
"É	1	0	0	0	0	 1
"à	19	0	0	 9	 4	 6
"â	1	0	0	 1	0	0
"é	38	0	0	 14	 4	 20
"ê	2	0	0	 1	0	 1
#1	1	0	 1	0	0	0
#f	1	0	0	0	0	 1
$ 	6	0	 2	0	0	 4
$4	1	0	0	0	0	 1
$5	1	0	0	0	0	 1
% 	2552	0	 677	 1173	 410	 292
%"	1	0	0	 1	0	0
%)	302	0	 74	 127	 53	 48
%,	206	 1	 61	 97	 32	 15
%-	2	0	0	 1	0	 1
%.	217	0	 62	 103	 35	 17
%:	1	0	 1	0	0	0
%;	11	0	 11	0	0	0
%?	5	0	 5	0	0	0
%»	1	0	 1	0	0	0
& 	75	0	 64	 1	 7	 3
&#	1	0	 1	0	0	0
' 	393	 49	 78	 52	 22	 192
'"	218	0	0	 196	 5	 17
''	14	0	0	 1	0	 13
'(	4	0	0	0	0	 4
')	26	0	0	 1	0	 25
',	46	 6	 1	0	0	 39
'-	3	0	 1	 1	0	 1
'.	34	 2	0	0	0	 32
'1	13	0	 4	 1	0	 8
'2	1	0	0	0	0	 1
'3	1	0	0	0	0	 1
'8	1	0	 1	0	0	0
'9	5	0	 4	0	0	 1
':	1	0	 1	0	0	0
'A	6258	 840	 2407	 1360	 843	 808
'B	1	0	0	 1	0	0
'C	6	0	 1	 2	 2	 1
'D	21	0	 3	 16	0	 2
'E	4162	 411	 1190	 1612	 338	 611
'F	1	0	0	 1	0	0
'G	4	0	0	 2	 2	0
'H	628	 161	 54	 173	 128	 112
'I	2138	 150	 764	 624	 243	 357
'K	2	0	0	 1	0	 1
'M	3	0	 2	0	 1	0
'N	2	0	0	 1	0	 1
'O	1561	 170	 480	 556	 153	 202
'P	4	 4	0	0	0	0
'R	1	0	0	 1	0	0
'S	2	0	0	 1	0	 1
'T	21	 20	0	 1	0	0
'U	1319	 144	 502	 308	 108	 257
'X	4	0	0	 2	0	 2
'Y	65	 15	 2	 16	 27	 5
']	8	0	0	0	 7	 1
'a	77679	 14035	 17834	 13542	 17513	 14755
'c	4	 3	0	 1	0	0
'd	9	 1	0	 3	0	 5
'e	60267	 12711	 10786	 10556	 14284	 11930
'f	7	 6	0	0	0	 1
'g	3	 2	0	0	0	 1
'h	11444	 2058	 3115	 2048	 2132	 2091
'i	40973	 5982	 8474	 7205	 9513	 9799
'j	1	 1	0	0	0	0
'l	13	 9	 2	0	0	 2
'm	14	 10	0	0	 1	 3
'n	6	0	0	 3	0	 3
'o	23198	 4281	 4180	 4056	 5369	 5312
'p	14	 11	0	0	 2	 1
'q	2	 2	0	0	0	0
'r	22	 6	0	0	0	 16
's	167	 8	 18	 59	 4	 78
't	58	 19	0	 5	0	 34
'u	33298	 5375	 6454	 5617	 8075	 7777
'v	15	 4	0	0	0	 11
'x	1	 1	0	0	0	0
'y	2601	 921	 238	 552	 421	 469
'Œ	2	0	0	0	 2	0
'œ	735	 21	0	0	 697	 17
'¦	1	0	0	0	0	 1
'«	247	 5	 1	 5	 103	 133
'»	1	0	 1	0	0	0
'À	2	0	0	0	 1	 1
'Á	3	0	 3	0	0	0
'Â	3	0	0	0	0	 3
'È	1	0	0	0	0	 1
'É	2417	 158	 863	 23	 1019	 354
'Ê	3	 1	0	0	 2	0
'Î	1	0	 1	0	0	0
'Ï	3	0	0	0	0	 3
'Ö	1	0	 1	0	0	0
'à	2531	 622	 467	 490	 453	 499
'â	712	 182	 74	 140	 200	 116
'è	91	0	 1	 15	 40	 35
'é	24590	 5037	 5217	 4056	 5262	 5018
'ê	2075	 438	 242	 473	 423	 499
'ë	2	0	0	0	0	 2
'î	187	 45	 110	 7	 1	 24
'ï	4	0	 4	0	0	0
'ô	18	 15	0	 2	 1	0
( 	5159	 7	 5076	 40	 2	 34
(!	4	0	 2	 2	0	0
("	53	0	0	 36	 1	 16
(%	33	0	 1	0	 32	0
((	8	0	 2	0	0	 6
()	34	0	0	0	 34	0
(*	271	 246	 15	0	 1	 9
(+	62	0	 6	 45	 1	 10
(-	12	0	0	 1	0	 11
(.	282	0	 14	 129	 39	 100
(0	693	0	 19	 642	 16	 16
(1	6446	0	 2038	 2433	 742	 1233
(2	3341	0	 1671	 1487	 29	 154
(3	1350	0	 347	 885	 24	 94
(4	834	0	 133	 629	 15	 57
(5	838	0	 276	 506	 12	 44
(6	653	0	 274	 337	 9	 33
(7	436	0	 114	 291	 9	 22
(8	534	0	 244	 263	 7	 20
(9	805	0	 581	 212	 5	 7
(<	2	0	0	0	0	 2
(=	26	0	0	0	 12	 14
(>	4	0	0	0	0	 4
(?	13	 1	 1	 2	 1	 8
(@	2	 2	0	0	0	0
(A	716	 5	 340	 119	 103	 149
(B	559	 6	 168	 66	 162	 157
(C	1752	 5	 944	 156	 187	 460
(D	319	 1	 65	 39	 92	 122
(E	357	 4	 156	 79	 25	 93
(F	571	0	 338	 76	 72	 85
(G	504	 1	 182	 55	 107	 159
(H	183	 2	 38	 22	 34	 87
(I	398	 5	 100	 49	 83	 161
(J	138	 9	 45	 21	 18	 45
(K	65	 2	 13	 7	 16	 27
(L	556	 2	 114	 53	 170	 217
(M	427	 4	 72	 99	 66	 186
(N	542	0	 439	 27	 22	 54
(O	293	 6	 205	 25	 14	 43
(P	1257	 5	 898	 119	 68	 167
(Q	29	0	 1	 4	 8	 16
(R	416	 12	 93	 96	 88	 127
(S	701	 4	 388	 96	 76	 137
(T	344	 3	 117	 31	 81	 112
(U	192	 1	 53	 55	 44	 39
(V	276	0	 146	 28	 32	 70
(W	77	0	 8	 5	 21	 43
(X	18	0	 5	 1	 1	 11
(Y	18	0	 1	 3	 5	 9
(Z	28	 1	 5	 2	 11	 9
([	6	0	0	0	0	 6
(`	2	0	0	0	0	 2
(a	928	 7	 315	 117	 214	 275
(b	167	 2	 42	 25	 45	 53
(c	1221	 16	 218	 180	 298	 509
(d	1002	 5	 281	 141	 198	 377
(e	908	 8	 216	 132	 191	 361
(f	258	0	 70	 22	 46	 120
(g	110	0	 26	 15	 21	 48
(h	84	0	 22	 15	 12	 35
(i	503	 10	 39	 61	 168	 225
(j	86	 1	 27	 16	 19	 23
(k	9	0	 1	 1	 3	 4
(l	1312	 6	 139	 331	 279	 557
(m	423	0	 84	 69	 106	 164
(n	325	 2	 81	 48	 76	 118
(o	500	 3	 93	 49	 107	 248
(p	1246	 2	 296	 147	 284	 517
(q	254	 2	 52	 45	 50	 105
(r	386	 2	 122	 34	 76	 152
(s	728	 7	 157	 99	 187	 278
(t	397	 3	 80	 47	 113	 154
(u	218	 1	 30	 49	 33	 105
(v	329	 2	 109	 45	 48	 125
(w	12	0	 5	 1	0	 6
(x	5	0	0	0	 1	 4
(y	42	0	 21	 5	 6	 10
(z	8	0	 4	0	0	 4
({	2	0	0	0	0	 2
(|	2	0	0	0	0	 2
(}	2	0	0	0	0	 2
(~	1	0	0	0	0	 1
(œ	3	0	0	0	 3	0
(§	74	0	0	0	 74	0
(«	195	0	 1	 9	 75	 110
(°	46	0	0	0	 46	0
(±	1	0	0	0	0	 1
(À	2	0	0	0	 1	 1
(Â	1	0	0	0	 1	0
(Ç	5	0	0	0	0	 5
(É	42	0	 26	0	 10	 6
(Ì	1	0	0	0	0	 1
(Î	1	0	 1	0	0	0
(Ö	2	0	 1	0	 1	0
(Ü	1	0	0	0	 1	0
(à	137	0	 34	 29	 27	 47
(â	4	0	 1	 1	 1	 1
(é	207	0	 67	 26	 30	 84
(ê	5	0	0	0	0	 5
(î	3	0	 3	0	0	0
) 	26396	 220	 12430	 6865	 2302	 4579
)"	4	0	0	0	0	 4
))	27	0	 7	0	 9	 11
)*	1	0	0	0	0	 1
),	6185	 101	 1256	 1583	 1149	 2096
)-	12	0	 1	0	0	 11
).	8221	 77	 1125	 2317	 1713	 2989
)/	9	0	 6	0	 1	 2
)1	1	0	 1	0	0	0
)2	10	0	0	0	0	 10
)3	5	0	 3	0	0	 2
)8	1	0	 1	0	0	0
)9	2	0	 1	0	 1	0
):	71	0	 67	0	0	 4
);	155	0	 139	 11	0	 5
)?	161	0	 161	0	0	0
)C	11	0	 9	0	0	 2
)E	2	0	0	0	0	 2
)M	4	0	0	0	0	 4
)N	1	0	0	0	0	 1
)S	1	0	 1	0	0	0
)T	1	0	0	0	0	 1
)]	13	0	 11	0	0	 2
)a	5	0	 4	0	0	 1
)c	2	0	0	0	0	 2
)d	4	0	 1	0	 2	 1
)e	2	0	 2	0	0	0
)f	1	0	0	0	0	 1
)i	3	0	0	0	0	 3
)j	1	0	0	0	0	 1
)l	1	0	0	 1	0	0
)n	2	0	0	0	0	 2
)o	1	0	0	0	0	 1
)p	3	0	0	0	0	 3
)q	1	0	0	0	0	 1
)s	9	0	 7	0	0	 2
)t	1	0	0	 1	0	0
){	1	0	0	0	0	 1
)«	2	0	0	0	0	 2
)»	39	0	 17	0	0	 22
)à	2	0	 1	0	0	 1
)é	1	0	0	 1	0	0
* 	362	 247	0	 5	0	 110
*)	280	 246	 15	0	 1	 18
**	247	 227	 2	0	0	 18
*,	5	0	0	0	0	 5
*.	8	0	0	0	0	 8
*<	1	0	0	0	0	 1
*C	1	0	0	0	0	 1
*E	2	0	0	0	0	 2
*M	1	 1	0	0	0	0
*Q	1	0	0	0	0	 1
*]	1	 1	0	0	0	0
*b	1	0	0	0	0	 1
*l	1	0	0	0	0	 1
*{	1	0	0	0	0	 1
*É	1	0	0	0	0	 1
+ 	306	 19	 31	 70	 107	 79
+)	11	0	0	0	0	 11
++	1	0	0	0	0	 1
+,	2	0	 1	0	0	 1
+-	1	0	0	0	0	 1
+.	6	 5	0	0	0	 1
+/	6	0	0	0	0	 6
+0	1	0	0	0	0	 1
+1	12	0	 1	 2	0	 9
+2	1	0	 1	0	0	0
+3	1	0	0	0	0	 1
+4	3	0	0	 1	0	 2
+5	1	0	0	0	0	 1
+6	1	0	0	0	0	 1
+=	1	0	0	0	0	 1
+?	1	0	0	0	0	 1
+D	1	0	 1	0	0	0
+P	1	0	0	0	0	 1
+Q	1	0	0	0	0	 1
+Z	1	0	0	0	0	 1
+\	1	 1	0	0	0	0
+d	2	0	0	0	0	 2
+r	1	0	0	0	 1	0
+z	2	0	0	0	0	 2
+»	1	0	0	0	0	 1
, 	331904	 80785	 49026	 79883	 59685	 62525
,'	1	 1	0	0	0	0
,)	1	0	0	0	0	 1
,,	3	0	0	 1	0	 2
,-	2	 2	0	0	0	0
,.	28	 6	0	 3	0	 19
,/	2	0	0	 2	0	0
,0	965	 8	 137	 784	 15	 21
,1	1024	0	 101	 846	 39	 38
,2	1074	0	 111	 887	 51	 25
,3	1074	0	 87	 918	 49	 20
,4	1072	 1	 102	 906	 43	 20
,5	1365	 7	 234	 951	 108	 65
,6	1088	 1	 88	 920	 54	 25
,7	1069	0	 94	 911	 50	 14
,8	984	0	 81	 841	 41	 21
,9	970	 2	 62	 846	 49	 11
,:	1	0	 1	0	0	0
,A	1	0	0	 1	0	0
,C	1	0	0	0	0	 1
,D	1	0	0	 1	0	0
,E	1	0	0	 1	0	0
,F	5	0	0	0	0	 5
,G	2	0	0	0	0	 2
,H	2	0	0	 1	0	 1
,R	1	0	0	 1	0	0
,S	1	0	0	0	0	 1
,Y	1	0	0	 1	0	0
,[	1	0	0	0	0	 1
,]	1	 1	0	0	0	0
,a	1	0	0	 1	0	0
,c	6	0	0	 5	0	 1
,d	5	0	0	 5	0	0
,e	8	0	 2	 6	0	0
,g	1	0	0	 1	0	0
,i	3	0	0	 3	0	0
,j	2	0	0	 2	0	0
,l	9	0	0	 9	0	0
,m	5	0	0	 4	0	 1
,n	6	0	0	 5	0	 1
,p	8	0	 1	 6	0	 1
,q	5	0	0	 5	0	0
,r	3	0	0	 2	0	 1
,s	7	0	 1	 5	0	 1
,t	2	0	0	 1	0	 1
,u	2	0	 1	 1	0	0
,y	1	0	0	0	0	 1
,«	1	0	0	0	0	 1
,»	10	 10	0	0	0	0
,à	5	0	0	 2	0	 3
- 	23385	 12833	 2804	 5266	 130	 2352
-"	5	 1	0	 1	0	 3
-(	6	0	0	0	0	 6
-)	20	0	 2	0	 3	 15
-,	142	 16	 40	0	 9	 77
--	21764	 15090	0	 5093	 2	 1579
-.	11	 3	0	0	 2	 6
-0	92	0	 73	 6	 10	 3
-1	1560	 4	 390	 151	 652	 363
-2	387	0	 79	 56	 93	 159
-3	305	0	 109	 66	 51	 79
-4	267	0	 112	 37	 62	 56
-5	170	0	 65	 34	 36	 35
-6	135	0	 14	 41	 35	 45
-7	90	0	 24	 18	 21	 27
-8	95	0	 17	 9	 23	 46
-9	112	 1	 40	 12	 18	 41
->	6	0	0	0	0	 6
-A	545	 150	 68	 199	 70	 58
-B	970	 119	 322	 334	 88	 107
-C	895	 64	 75	 558	 66	 132
-D	476	 115	 33	 184	 81	 63
-E	370	 44	 63	 123	 50	 90
-F	396	 47	 13	 213	 60	 63
-G	294	 37	 41	 161	 34	 21
-H	469	 32	 66	 66	 288	 17
-I	176	 6	 10	 37	 1	 122
-J	414	 130	 48	 134	 71	 31
-K	81	 5	 37	 19	 12	 8
-L	573	 124	 27	 239	 122	 61
-M	944	 101	 78	 490	 139	 136
-N	176	 35	 26	 62	 19	 34
-O	275	 12	 67	 128	 27	 41
-P	1126	 108	 81	 715	 70	 152
-Q	59	 19	 1	 27	 1	 11
-R	400	 60	 72	 158	 51	 59
-S	490	 59	 63	 198	 107	 63
-T	223	 31	 25	 77	 40	 50
-U	1740	 4	 831	 450	 102	 353
-V	162	 27	 25	 79	 14	 17
-W	49	 7	 7	 20	 10	 5
-X	18	0	 3	 7	 3	 5
-Y	254	 11	 95	 122	 1	 25
-Z	47	 4	 4	 33	 4	 2
-[	1	0	0	0	0	 1
-]	1	0	0	0	0	 1
-a	840	 44	 211	 242	 80	 263
-b	470	 188	 31	 127	 37	 87
-c	4977	 1314	 876	 907	 791	 1089
-d	4043	 828	 478	 899	 862	 976
-e	6926	 846	 4845	 478	 323	 434
-f	690	 146	 104	 187	 104	 149
-g	416	 30	 17	 110	 141	 118
-h	419	 134	 15	 168	 35	 67
-i	5643	 1623	 1321	 1251	 748	 700
-j	476	 308	 14	 35	 57	 62
-k	63	 34	 2	 5	 14	 8
-l	1754	 831	 80	 395	 173	 275
-m	3494	 870	 265	 745	 642	 972
-n	759	 294	 49	 161	 109	 146
-o	1144	 160	 137	 353	 185	 309
-p	1239	 152	 196	 362	 182	 347
-q	217	 55	 11	 108	 23	 20
-r	576	 27	 151	 139	 115	 144
-s	1332	 160	 73	 429	 267	 403
-t	5814	 1373	 2637	 855	 449	 500
-u	239	 62	 17	 41	 47	 72
-v	1819	 760	 169	 423	 182	 285
-w	39	 21	 10	 1	0	 7
-x	3	0	0	0	 1	 2
-y	48	 18	 3	 18	 1	 8
-z	30	 1	 1	 23	 1	 4
-«	1	0	0	0	0	 1
-°	2	0	0	0	 2	0
-»	1	0	0	0	0	 1
-Â	1	0	0	0	0	 1
-É	49	 9	 4	 2	 19	 15
-ß	14	0	0	0	0	 14
-à	1654	 126	 194	 229	 490	 615
-â	1	0	0	0	 1	0
-ç	3	 1	0	 2	0	0
-è	2	0	0	0	0	 2
-é	337	 17	 73	 78	 35	 134
-ê	1176	 410	 66	 254	 218	 228
. 	146466	 29647	 25105	 35113	 28288	 28313
.!	1	0	0	 1	0	0
."	312	 2	0	 261	 8	 41
.'	1	0	0	0	0	 1
.(	4	0	0	0	0	 4
.)	1271	 18	 170	 278	 345	 460
.*	2	0	0	0	0	 2
.,	3757	 101	 43	 3095	 41	 477
.-	260	 14	 2	 6	 136	 102
