Filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum - count,c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1, ,a,à,â,b,c,d,e,é,è,ê,ë,f,g,h,i,î,ï,j,k,l,m,n,o,ô,p,q,r,s,t,u,û,v,w,x,y,z,Total Result
 ,35474,256273,96294,1067,63492,377546,759408,302942,58880,115,7557,,121415,53071,25898,100869,228,,50898,4528,581768,191004,122990,75121,150,423493,138432,151065,316532,135892,91087,,79105,2635,1803,7826,2150,4637008
a,247230,517,1,2,36968,63951,25004,1126,846,11,,359,10337,42952,1715,229800,5993,1001,3126,1342,108689,36743,269246,1202,15,41646,5303,171663,72698,172259,152551,,54354,293,2398,10454,1647,1773442
à,104731,,,,1,1,3,,,,,,1,,,,,,1,,6,,,,,5,,2,,,3,,,,,,2,104756
â,6,1,,,68,2112,1,,,,,,,896,,39,,,1,1,453,783,355,,,49,35,15,24,2302,,,1,1,,8,,7151
b,1146,23487,,579,799,101,272,15666,4677,119,402,,20,16,48,25915,69,,9558,10,54670,103,86,22997,,49,1,29922,6221,1602,10265,72,509,29,1,498,14,209923
c,26376,61760,2,63,48,17029,398,190642,10656,3497,75,,1566,273,90341,81679,,,7,2280,23361,194,1150,217725,1844,537,2607,31111,3570,75334,33889,1,30,3,7,1206,33,879294
d,22958,76104,3,23,60,119,604,469997,67368,4125,,1,811,1465,922,92761,227,,643,23,145,3354,283,45924,50,30,6,30439,7973,308,87731,592,457,108,15,1150,98,916877
e,1227889,22306,3,17,1399,66058,5598,3838,19,,,1,14940,6861,988,22405,2,208,1021,477,124794,127270,457775,2951,12,23793,1545,236803,626541,184909,147117,420,19215,732,35767,1464,8549,3373687
é,90190,10896,2,565,4613,48527,17333,64736,970,3,,,12693,25920,1221,1246,,7,3736,46,19423,17979,18391,7434,,24217,5933,55756,56294,58056,2079,,21713,,7,1,73,570060
è,33,,,,413,4892,1189,2,,,,,17,4769,,,,,,,2825,9766,4093,,,13,455,30603,18799,3563,,,3049,,,,31,84512
ê,12,,,,,1596,,,,,,,,,,,,,,21,532,12209,320,,,45,156,,3,20323,,,539,,,,,35756
ë,69,,,,,65,,,,,,,8,,,,,,,,444,6,22,,,3,,17,52,85,,,2,,,,,773
f,8630,46559,1,198,20,75,119,24173,9997,740,278,,30601,56,,51721,22,,8,10,7889,118,926,47317,1,80,2,23029,5105,197,8896,307,3,3,,14,1,267096
